year,make,number
2023,JJCC,
2023,JOHN DEERE,
2023,JUNGHEINRICH,
2023,KALMAR,1
2023,KARCHER,1
2023,KIA,
2023,KING LONG,19
2023,KOMATSU,
2023,KUBOTA,
2023,LAND ROVER,7
2023,LEKTRO,1
2023,LIEBHERR,4
2023,LINDE,1
2023,MADVAC,6
2023,MAN,7
2023,MANITOU,
2023,MASERATI,
2023,MAXIMAL,
2023,MAXUS,72
2023,MECLIFT,1
2023,MERCEDES BENZ,104
2023,MITSUBISHI,928
2023,MITSUOKA,
2023,MULAG,2
2023,NEW HOLLAND,
2023,NICHIYU,7
2023,NILFISK,
2023,NISSAN,427
2023,OHM,13
2023,OPEL,136
2023,PEUGEOT,2
2023,POWERPLUS,1
2023,QINGCHA,
2023,RENAULT,11
2023,ROSENBAUER,
2023,ROYAL,
2023,SAFERLIFTS,
2023,SAKAI,21
2023,SANY,12
2023,SCANIA,137
2023,SCHOPF,
2023,SHACMAN,
2023,SHINERAY,218
2023,SINOTRUK,14
2023,SOCMA,12
2023,SOKON,39
2023,SPL,
2023,SSANGYONG,17
2023,STILL,1
2023,SUZUKI,46
2023,T.C.M.,14
2023,TADANO FAUN,
2023,TAILIFT,
2023,TENNANT,
2023,TERBERG,
2023,TEREX,
2023,TLD,4
2023,TOYOTA,1622
2023,TREPEL,
2023,TUG MANUFACTURING,
2023,UD TRUCKS,46
2023,UNICARRIERS,
2023,UTILEV,1
2023,VOGELE,5
2023,VOLKSWAGEN,14
2023,VOLVO,83
2023,WIRTGEN,20
2023,XCMG,4
2023,XUGONG,
2023,YALE,
2023,YANMAR,
2023,ZOOMLION,
2023,OTHERS,
